#{"t_start": 1784993138.1307077, "env_id": "None"}
r,l,t
-34.583843,126,7.61779
-30.370861,180,14.892761
-32.928,180,21.061826
-34.275102,180,28.088641
-32.158504,180,34.437746
-28.163184,180,41.508145
-26.45098,180,48.417299
-17.786216,166,54.667442
-22.999597,180,61.803385
-23.954991,180,68.051718
-22.67018,180,74.440869
-20.820736,180,81.527567
-20.79369,180,87.863276
-21.273355,180,95.126285
-21.814596,180,101.61031
-21.160576,180,107.87834
-21.417911,180,115.074225
-21.063791,180,121.34691
-19.576763,180,129.06374
-19.938228,180,140.107223
-21.126031,180,148.57725
-21.309583,180,157.958491
-24.776928,180,166.673213
-20.917531,180,175.784721
-22.104052,180,184.281028
-20.715589,180,193.718601
-21.410421,180,202.046229
-20.124311,180,210.505968
-21.24884,180,220.055222
-19.381325,180,228.662959
-21.832676,180,238.04195
-21.100332,180,246.449278
-20.096529,180,255.255568
-18.364673,180,264.833106
-21.169322,180,274.982615
-20.831978,180,287.879135
-20.286345,180,297.99196
-20.413605,180,308.039696
-19.898545,180,318.943091
-19.749237,180,328.420063
-24.102483,180,339.050598
-18.842794,180,349.261968
-20.65915,180,358.409017
-20.634441,180,367.678428
-19.50092,180,376.02828
-21.43149,180,385.154651
-21.197154,180,393.650882
-23.811459,180,403.711241
-21.138598,180,414.443769
-20.079629,180,423.966605
-19.971233,180,434.563668
-19.528969,180,444.613568
-22.741212,180,458.233674
-21.063696,180,468.44098
-19.973864,180,482.192408
-19.819772,180,493.169875
-18.772718,180,502.655449
-20.537646,180,514.325246
-23.230393,180,524.072406
-21.428147,180,533.617634
-20.362236,180,541.792735
-19.555495,180,548.840056
-19.609853,180,556.645169
-21.335388,180,563.693241
-19.320578,180,571.033257
-20.417412,180,578.909574
-20.521333,180,586.021142
-19.945938,180,593.81794
-18.764196,180,601.078756
-20.032381,180,608.067509
-20.416142,180,615.927977
-20.552939,180,622.970373
-20.665418,180,630.737397
-19.274846,180,638.339304
-20.284942,180,647.958674
-19.984644,180,657.119608
-20.644438,180,664.415363
-20.624101,180,672.358204
-21.243961,180,679.59008
-19.320265,180,686.813817
-20.485996,180,694.685971
-20.956218,180,701.827929
-20.158017,180,709.636379
-21.731461,180,716.840313
-20.510156,180,725.40168
-19.139184,180,733.56389
-19.668063,180,740.976452
-20.461863,180,749.111203
-22.106314,180,756.527888
