#{"t_start": 1784994950.4473903, "env_id": "None"}
r,l,t
-30.585091,131,5.131092
-39.241424,180,11.559426
-28.726635,180,18.059584
-34.542719,180,25.203981
-25.539428,180,31.742173
-20.329227,180,38.786034
-31.736345,180,45.241335
-29.308804,180,54.805248
-26.356919,180,68.094092
-21.086155,180,76.653277
-23.223695,180,89.618058
-21.916238,180,98.771921
-21.415467,180,110.306032
-23.684638,180,121.988728
-21.120293,180,131.753178
-20.226786,180,141.635499
-20.503444,180,150.145272
-20.140752,180,158.957982
-20.368335,180,168.686049
-22.403822,180,177.185612
-19.741848,180,186.565382
-19.691025,180,195.096525
-18.631402,180,203.641264
-20.797347,180,213.356294
-20.733407,180,221.878858
-19.318259,180,231.703471
-20.623691,180,240.77166
-19.301201,180,250.015208
-18.473118,180,260.973388
-21.282938,180,270.546045
-21.311607,180,281.484632
-22.460584,180,292.017281
-19.624273,180,303.028291
-21.922776,180,312.610744
-21.27461,180,322.067549
-18.793544,180,332.425069
-20.030312,180,341.715022
-19.039178,180,351.97938
-20.528651,180,361.07658
-19.3966,180,369.563921
-20.706289,180,379.24285
-20.345314,180,387.652627
-21.319444,180,397.034966
-20.46549,180,405.569725
-20.805037,180,413.916865
-18.829892,180,423.225598
-19.919657,180,431.712287
-19.200164,180,441.256322
-20.690346,180,449.581323
-18.531756,180,457.955133
-19.438423,180,467.106781
-19.330519,180,475.411951
-20.454864,180,484.645315
-20.725704,180,492.975464
-20.063288,180,501.391532
-21.277002,180,510.751928
-20.355779,180,519.049232
-23.430172,180,528.375472
-19.631977,180,536.689577
-19.225435,180,545.02056
-18.14037,180,554.296842
-20.3311,180,562.720036
-20.995362,180,572.083434
-21.237758,180,580.294945
-19.481481,180,589.506932
-18.607678,180,597.783857
-20.16926,180,606.107905
-20.854336,180,615.377461
-19.847508,180,623.673038
-20.421829,180,632.878872
-20.281643,180,641.187903
-20.709485,180,649.558591
-19.445619,180,658.762496
-19.554838,180,667.093384
-20.797781,180,676.362461
-21.347854,180,684.620244
-19.415653,180,692.89252
-21.138459,180,702.015182
-22.066466,180,710.362425
-20.503309,180,719.481548
-20.831405,180,727.801193
-21.059208,180,736.33397
-21.50774,180,745.490948
-18.675956,180,753.747482
-20.352162,180,762.954126
-12.540587,130,769.188591
-19.183603,180,777.438611
-19.827182,180,785.776268
-18.879208,180,794.998637
-22.559301,180,803.31226
-21.422964,180,812.531651
-20.880333,180,820.823816
-22.651758,180,830.103839
-20.697587,180,838.399266
-21.274898,180,846.661386
-21.13259,180,855.921495
-21.088547,180,864.256602
-21.854713,180,873.427573
-21.678985,180,881.74343
-20.817632,180,890.12695
-20.43553,180,899.370173
-20.863855,180,907.766478
-22.260938,180,917.087097
-22.11735,180,925.472459
-20.857714,180,933.82239
-20.5193,180,943.147604
-19.447963,180,951.605099
-18.226162,180,960.934228
-21.241464,180,969.327801
-21.362882,180,977.89623
-19.706034,180,987.250102
-19.38137,180,995.618573
-20.816642,180,1004.983798
-20.013545,180,1013.441728
-20.589808,180,1021.812958
-20.36839,180,1031.045716
-19.343177,180,1045.621215
-20.59777,180,1059.101982
-21.52105,180,1067.65961
-20.245945,180,1076.232974
-22.011221,180,1090.541101
-20.304594,180,1103.289096
-20.599758,180,1116.595387
-19.11089,180,1128.457078
-20.779377,180,1141.444666
-21.050586,180,1152.725675
-21.13176,180,1164.034597
-21.520905,180,1173.146952
-20.331468,180,1181.548763
-20.743235,180,1190.713043
-21.053361,180,1199.289585
-19.794598,180,1207.654858
-21.629548,180,1216.930049
-20.203069,180,1226.085647
-20.837532,180,1235.298277
-21.326076,180,1243.654923
-18.95811,180,1252.080553
-20.990742,180,1261.27039
-20.516379,180,1269.546335
-19.434108,180,1278.84758
-21.168538,180,1287.144325
-21.254626,180,1295.407508
-21.872453,180,1304.556003
-21.516457,180,1312.987999
-20.963222,180,1322.219641
-20.443088,180,1330.54031
-19.02873,180,1338.813817
-21.057674,180,1348.035149
-18.752388,180,1356.280492
-21.711796,180,1365.508665
-19.298286,180,1373.870889
-21.386947,180,1382.222263
-22.304437,180,1391.431593
-21.405892,180,1399.923726
-20.479218,180,1409.46528
-21.465151,180,1417.720535
-21.173212,180,1427.025129
-19.951732,180,1435.394611
-21.851093,180,1443.668071
-19.870669,180,1453.033006
-19.678387,180,1461.612182
-19.196885,180,1470.940501
-20.305999,180,1479.229939
-20.232953,180,1487.525544
-21.626156,180,1496.863948
-19.97979,180,1505.179975
-20.781136,180,1514.388514
-20.366999,180,1522.897212
-20.096891,180,1531.180623
-20.220055,180,1540.353786
-21.36939,180,1548.853216
-19.632935,180,1558.046691
-20.776588,180,1566.343473
-20.950454,180,1574.626318
-20.839378,180,1584.052195
-19.751367,180,1592.386894
-21.272612,180,1601.506516
-19.071784,180,1611.31462
-20.630245,180,1623.380872
-20.432888,180,1635.838162
-20.486194,180,1647.532937
-21.565136,180,1660.570098
-20.571652,180,1672.61794
-20.229898,180,1683.537147
-19.431416,180,1696.504597
-21.466556,180,1708.59776
-21.33073,180,1721.495052
-19.118919,180,1733.707375
-21.10928,180,1746.242503
-20.365299,180,1757.035963
-20.367408,180,1765.124345
-20.890347,180,1773.765163
-19.474955,180,1783.780721
-19.843675,180,1794.65189
