time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/loss,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
512,124,1,4,,,,,,,,,,,,
1024,114,2,8,0.0003,10,-45.171006000000006,-2.482349330186844,155.0,2.1938486099243164,0.0042177793,10.95075182914734,0.1,-0.034603238105773926,-0.018423969682771713,0.2177734375
1536,112,3,13,0.0003,20,-42.12871425,-2.4762436181306837,167.5,1.6946955919265747,0.0053935153,3.6493872150778772,0.1,-0.11617827415466309,-0.014685700507834553,0.1677734375
2048,110,4,18,0.0003,30,-39.315774000000005,-2.468505582213402,165.72727272727272,1.6637409925460815,0.0036846409,4.368507814407349,0.1,-0.014322400093078613,-0.011972381186205893,0.1306640625
2560,110,5,23,0.0003,40,-39.929653916666666,-2.4567704826593397,166.91666666666666,1.2872769832611084,0.0052423077,3.587031325697899,0.1,0.07335704565048218,-0.01413426561630331,0.1931640625
3072,109,6,28,0.0003,50,-39.6127805,-2.4448614329099656,170.1875,2.1106743812561035,0.0039135558,5.571486529707909,0.1,0.21489042043685913,-0.012078615266364067,0.12890625
3584,108,7,32,0.0003,60,-37.18936947368421,-2.438317856192589,170.0,0.5938378572463989,0.0039519947,2.657814513146877,0.1,0.42248910665512085,-0.013374925858806818,0.1748046875
4096,108,8,37,0.0003,70,-36.886832428571424,-2.4298064559698105,170.95238095238096,0.3552693724632263,0.003659307,1.100370531529188,0.1,0.8354212790727615,-0.014178534067468718,0.1896484375
4608,108,9,42,0.0003,80,-34.98925795833333,-2.4209425330162047,170.08333333333334,0.28344395756721497,0.003468978,0.8061527211219073,0.1,0.8805014565587044,-0.010123197408393025,0.143359375
5120,107,10,47,0.0003,90,-34.77757053571428,-2.405228504538536,171.5,0.6645969152450562,0.0039802734,1.646084689348936,0.1,0.7878540754318237,-0.01323991704848595,0.160546875
5632,100,11,56,0.0003,100,-33.50725540625,-2.3917326390743257,172.5625,0.38605061173439026,0.004753977,0.6604120504111052,0.1,0.946091178804636,-0.012638321425765753,0.1955078125
6144,93,12,65,0.0003,110,-33.19390718181819,-2.3835185199975966,172.78787878787878,0.06079304963350296,0.00580633,0.44660958014428614,0.1,0.936996266245842,-0.013529253925662487,0.1916015625
6656,92,13,71,0.0003,120,-32.52959158333334,-2.3882007867097856,173.38888888888889,0.21384838223457336,0.00379293,0.46876806691288947,0.1,0.936699852347374,-0.010747793532209471,0.183984375
7168,91,14,78,0.0003,130,-31.544924375000004,-2.3770740061998366,174.05,0.08662974089384079,0.004074153,0.4056126018986106,0.1,0.9574633799493313,-0.013194151013158262,0.1876953125
7680,87,15,87,0.0003,140,-31.38813058536586,-2.3646553248167037,174.1951219512195,0.13455882668495178,0.0038183462,0.4767431665211916,0.1,0.9497784525156021,-0.0144008029892575,0.222265625
8192,86,16,94,0.0003,150,-30.92244504545455,-2.36062638759613,174.5909090909091,0.3304305076599121,0.0031650953,0.5591911248862743,0.1,0.9145590364933014,-0.011135444056708365,0.11796875
8704,84,17,102,0.0003,160,-30.119206395833334,-2.3412192136049272,175.04166666666666,0.05170799791812897,0.005189123,0.27310023708269,0.1,0.947090744972229,-0.013212463702075183,0.20859375
9216,83,18,110,0.0003,170,-29.40615996153846,-2.3535227298736574,175.42307692307693,0.0815955176949501,0.0033864556,0.20502638863399625,0.1,0.9747713543474674,-0.01027048813411966,0.171484375
9728,82,19,118,0.0003,180,-29.216478452830188,-2.353503665328026,175.50943396226415,0.03473047539591789,0.0038952841,0.22088744267821311,0.1,0.9565878435969353,-0.01449843771988526,0.2251953125
10240,81,20,126,0.0003,190,-28.852143946428573,-2.3460084557533265,175.75,0.1337423026561737,0.0038066688,0.3288086477667093,0.1,0.9330752268433571,-0.014017142413649708,0.242578125
10752,80,21,133,0.0003,200,-28.26360453333333,-2.3098593205213547,176.03333333333333,0.10645447671413422,0.003508497,0.16915095769800245,0.1,0.9661203324794769,-0.010148564667906613,0.165625
11264,80,22,139,0.0003,210,-28.129574999999996,-2.3094909369945524,176.0983606557377,0.02893587201833725,0.0027068267,0.1346910446882248,0.1,0.9731105845421553,-0.007775783358374611,0.1068359375
