#{"t_start": 1784997625.778987, "env_id": "None"}
r,l,t
-39.292868,133,7.097457
-44.987263,180,11.483109
-34.424402,180,15.885065
-21.026715,123,18.948179
-32.996648,180,23.479318
-22.701301,180,27.972016
-20.709709,180,32.53741
-23.076297,180,36.885283
-24.577291,180,41.321716
-22.561231,180,45.954938
-21.15781,180,50.316902
-24.568893,180,54.917719
-20.912417,180,59.397868
-19.172008,180,63.676008
-21.015624,180,68.166599
-19.878414,180,72.716548
-22.101788,180,77.317469
-20.808286,180,81.697224
-19.387376,180,86.047954
-21.694784,180,90.616984
-18.906855,180,95.036323
-22.410655,180,99.684988
-20.898729,180,103.90359
-20.93099,180,108.124105
-22.372381,180,112.642313
-21.64491,180,116.930959
-21.054509,180,121.508042
-19.231294,180,125.861015
-19.540301,180,130.019997
-18.766358,180,134.62212
-20.468825,180,139.062755
-23.230111,180,143.665977
-20.159552,180,148.109505
-20.044255,180,152.295437
-22.044513,180,156.874197
-18.594888,180,161.167594
-20.948471,180,165.7051
-23.621047,180,169.952334
-19.515039,180,174.524711
-21.039409,180,178.740826
-22.086047,180,183.080483
-20.3595,180,187.511903
-23.184131,180,191.916116
-19.409074,180,196.311587
-20.354624,180,200.53667
-21.245946,180,204.953603
-20.187619,180,209.379767
-20.782531,180,213.622148
-18.278059,180,218.239265
-20.868611,180,222.616879
-19.412427,180,226.816655
-19.774926,180,231.554597
-19.14693,180,235.808919
-18.933431,180,240.241031
-18.504265,180,244.457309
-20.549464,180,248.838668
-21.073573,180,253.246523
-21.446517,180,257.438495
-19.113554,180,262.057564
-19.783452,180,266.300961
-19.309722,180,270.511746
-20.379475,180,274.937194
-22.316057,180,279.311452
-22.718828,180,283.918818
-21.505625,180,288.279723
-20.606201,180,292.555537
-21.868032,180,296.989611
-21.168326,180,301.509658
-20.942329,180,306.121178
-22.361425,180,310.485597
-21.806951,180,315.063679
-21.671714,180,319.306254
-21.663459,180,323.518938
-19.421949,180,328.015098
-21.943399,180,332.385478
-19.900751,180,336.810853
-18.273605,180,341.162033
-20.4882,180,345.534303
-22.536252,180,350.15596
-21.347193,180,354.356141
-20.233568,180,358.742889
-22.061511,180,363.0165
-20.554392,180,367.396635
-22.218983,180,371.914513
-20.97324,180,376.290952
-21.635752,180,380.893749
-21.348445,180,385.415771
-20.77937,180,389.640132
-21.795334,180,394.093701
-19.806815,180,398.28125
-19.122224,180,402.798121
-22.565566,180,407.580592
-20.880211,180,411.959417
-20.097975,180,416.384812
-23.153025,180,420.758389
-21.437841,180,425.186316
-22.207701,180,429.543001
-20.916642,180,433.898251
-21.668922,180,438.290886
-20.403398,180,442.746903
-22.240326,180,447.196622
-18.950665,180,451.362538
-20.646866,180,455.749081
-20.617754,180,459.917445
-21.587142,180,464.256879
-21.07412,180,468.848636
-21.501039,180,473.091903
-19.928641,180,477.674825
-20.78583,180,482.046157
-21.538954,180,486.248801
-21.381627,180,490.658098
-21.754629,180,495.015379
-20.370919,180,499.604169
-20.790923,180,503.959008
-19.962126,180,508.167197
-20.782032,180,512.813141
-20.458675,180,517.03317
-22.111468,180,521.579434
-22.006285,180,525.944878
-21.599558,180,530.161786
-20.194132,180,534.715959
-18.998907,180,539.273664
-19.639559,180,543.648051
-20.535177,180,547.83925
-21.106583,180,552.189906
-20.462201,180,556.769757
-19.394917,180,560.972914
-23.015757,180,565.590247
-21.785472,180,569.776831
-21.961462,180,574.134324
-21.511016,180,578.712446
-19.737468,180,583.096719
-21.915433,180,587.543846
-20.512359,180,591.929808
-22.036075,180,596.328376
-21.07432,180,600.528211
-23.245767,180,604.703164
-20.56785,180,609.258868
-20.38921,180,613.625698
-21.120545,180,618.195443
-19.198388,180,622.616358
-21.690166,180,626.975549
-18.974575,180,631.518488
-22.110436,180,635.950038
-21.586052,180,640.559164
-20.942777,180,644.853454
-21.353013,180,649.122934
-22.89243,180,653.572845
-20.157561,180,657.962346
-21.516486,180,662.603067
-21.260697,180,667.25415
-21.526909,180,671.643333
-22.127684,180,676.461065
-19.863584,180,681.124243
-21.76698,180,685.89553
-22.30463,180,690.502855
-20.510196,180,695.122478
-20.110937,180,699.932605
-19.485671,180,704.495662
-20.871673,180,709.163839
-21.793764,180,713.660263
-21.930946,180,718.286932
-20.104821,180,723.15069
-19.858809,180,727.75515
-18.929604,180,732.37065
-19.842609,180,736.737889
-21.907667,180,741.515824
-20.391788,180,746.052464
-20.931468,180,750.526706
-21.997345,180,755.38489
-20.878568,180,759.888157
-20.475886,180,764.935783
-21.725817,180,769.377268
-20.6054,180,773.821655
-20.994714,180,778.485455
-19.10944,180,782.881437
-21.528817,180,787.833134
-21.423638,180,792.352389
-21.699648,180,796.974695
-21.920112,180,801.845393
-21.435424,180,806.39022
-20.072695,180,811.041717
-20.845617,180,815.61661
-22.38222,180,820.205488
-19.303082,180,824.86126
-19.545532,180,829.513847
-20.19423,180,834.402847
-20.871886,180,838.828149
-18.408936,180,843.231544
-20.818561,180,848.090492
-20.261457,180,852.473398
-20.819558,180,857.311812
-19.340465,180,861.941585
-19.402595,180,866.461329
-19.743676,180,871.594908
-21.392091,180,876.31488
-20.921164,180,880.953625
-21.395516,180,885.395003
-20.737553,180,890.217296
-20.345658,180,895.039
-18.9161,180,899.455985
