#{"t_start": 1785388116.6527216, "env_id": "None"}
r,l,t
-11.482979,60,20.706617
6.841322,14,23.273659
8.563251,3,24.547251
-9.577642,60,42.221425
-17.190132,60,53.691029
-13.756188,60,67.25697
2.857686,33,72.847661
5.114885,1,73.961728
4.344718,9,77.56528
-15.458065,60,84.308395
-17.948934,60,94.400913
-4.517391,46,102.668868
6.998141,6,105.124302
2.608937,9,107.664565
-16.38365,60,117.036263
2.646518,23,121.101787
2.963001,30,125.519337
-19.294879,60,140.888498
2.697447,5,142.188207
5.88434,2,143.300888
6.431513,28,147.879726
-13.362674,60,161.783185
-1.023642,23,170.839111
6.19127,1,172.042197
-5.603154,23,177.200192
4.132159,41,187.602431
-10.123419,60,199.464442
9.479217,2,200.708103
4.603329,31,207.282616
4.579265,3,210.39552
-14.080812,60,220.382793
9.167323,15,223.799749
-17.306334,60,239.778285
7.64996,2,240.95522
-16.897133,60,252.893808
0.79308,2,253.96169
5.612746,4,255.280355
-25.112058,60,264.030559
-20.401253,60,278.751523
9.491872,5,281.909316
4.191548,5,283.091899
-22.815099,60,300.10135
6.207384,9,302.580633
-18.836983,60,311.264524
7.023854,2,314.281377
4.597896,6,317.413537
0.122092,12,321.080672
8.186167,2,322.239691
-20.410367,60,335.677012
-0.73768,10,338.323747
-7.495098,60,349.422957
-13.76051,60,368.092051
2.480114,35,376.321418
7.469108,3,377.4852
-22.601543,60,395.363211
-0.163645,3,396.475168
3.486204,8,397.806186
0.68767,1,398.932337
4.700307,6,400.215967
6.605858,11,403.901124
6.576597,6,405.119012
8.593194,3,406.365855
-27.390445,60,424.495218
6.371971,2,425.692719
-1.576296,43,433.846716
7.301024,6,438.490096
-0.199857,6,440.951329
3.158119,25,442.993936
7.503518,1,444.236897
8.128401,5,445.661885
2.22642,9,449.245691
0.110087,37,458.348372
9.904968,1,459.494446
4.082735,12,461.030487
0.626639,1,462.169369
7.367348,1,463.173735
-23.752624,60,479.955371
-13.125965,60,495.670847
7.274926,5,496.960392
4.770323,7,499.061561
4.892588,16,501.861732
4.780014,2,504.01457
5.587367,9,508.590953
7.098816,9,511.147115
7.44713,7,512.455969
5.902079,5,514.498922
6.845216,17,519.54989
3.26442,4,520.810557
1.754413,5,522.856969
0.63544,6,525.143762
5.275692,9,529.795885
6.655541,8,532.288237
6.220378,11,536.053872
8.549491,2,538.232084
7.7888,10,544.78344
-18.660911,60,555.447165
2.115881,2,557.815088
6.817333,8,560.441495
4.365321,3,561.611868
8.400539,7,564.006185
8.416654,1,565.252496
-14.105822,60,580.045084
8.406491,4,582.401956
8.151935,5,585.465061
7.942182,5,587.901721
2.39275,1,588.981213
7.901731,8,592.572333
7.651722,9,596.326088
0.74211,2,597.487605
7.777539,1,598.64282
7.669549,3,599.811998
8.3375,2,601.047776
2.362132,9,604.284776
-36.440172,60,625.036517
8.180376,2,626.921954
5.739038,1,627.967325
10.075438,5,631.792687
4.216264,4,632.96901
7.629859,1,634.111883
-4.07303,8,636.467506
1.414396,12,637.976723
6.227246,6,639.223859
7.897617,8,640.679734
-12.062277,60,657.133307
7.45143,3,658.262858
-18.160587,60,667.573391
6.53132,4,668.851618
-2.668924,26,677.382464
6.664294,3,678.590345
8.820726,7,685.411801
3.312273,7,687.939885
8.851243,2,689.037568
-23.850775,60,701.685059
8.528718,2,704.655854
6.438634,1,705.734924
3.770447,5,707.016963
5.212547,5,709.32156
5.910576,7,713.951385
6.741441,1,715.055912
9.040115,13,718.392643
-3.757233,17,725.490812
7.346302,3,726.627242
-18.998316,60,738.832511
9.74709,8,744.320658
-24.674836,60,757.288023
2.874722,11,760.601445
0.436502,1,761.727033
9.024154,1,762.871761
-22.476704,60,770.282835
6.240146,6,771.545263
6.577947,5,772.770981
-0.507385,7,774.047221
3.970999,4,775.235983
-9.826641,49,787.485658
-11.109549,60,799.172464
8.32677,4,800.37606
8.700491,4,801.680494
6.215667,8,803.045254
1.783122,4,805.502521
8.188291,9,808.929759
8.656665,2,809.995952
7.417899,2,811.879673
4.145239,1,812.926329
8.856436,2,815.203284
8.272939,1,817.011746
5.787845,1,818.180569
5.896597,1,819.309692
1.986457,3,821.277128
7.178015,3,822.47529
8.010484,1,824.190528
0.475843,3,825.382681
9.55806,1,827.123757
3.343924,1,828.199273
4.850661,15,835.17444
-27.251194,60,843.962586
-13.271147,60,858.645341
5.340342,17,865.647119
-15.039874,59,878.326495
3.177179,2,879.489954
2.193725,11,883.76761
4.229472,3,885.618415
8.039004,2,886.80944
4.94664,2,887.988474
3.810476,1,889.05056
6.039988,6,891.116723
8.478464,1,892.296715
6.930411,1,893.460155
5.710891,8,895.919748
6.224505,1,897.049323
5.798636,5,898.338274
2.022256,14,900.881452
6.3367,1,902.027469
6.073236,3,903.219373
-18.529684,60,920.480634
7.957753,7,921.881597
-16.817675,60,940.418774
9.85338,1,941.591636
4.967864,12,943.792422
7.034223,5,947.253753
-1.102631,20,951.277761
1.175312,41,971.526412
6.593271,5,975.038913
-24.390606,60,994.881014
-0.39282,8,999.655361
1.32537,7,1003.80154
8.09209,1,1005.663257
8.003557,5,1011.927912
9.908568,1,1013.075413
5.748092,9,1016.294257
0.901194,5,1017.579204
0.091198,2,1018.681775
3.07145,15,1024.678857
6.379543,5,1026.987427
6.820572,1,1028.878683
6.977618,1,1029.94583
-0.281682,11,1032.639342
