#{"t_start": 1785391113.982785, "env_id": "None"}
r,l,t
1.10532,2,2.767165
4.754024,8,7.315857
6.029755,5,8.572032
7.006343,4,9.765706
-16.099391,60,23.633172
3.066262,6,24.874765
7.165674,3,27.164545
3.26532,3,28.239886
5.010784,4,30.466551
-2.012691,52,42.916776
1.939474,14,46.412071
8.478958,5,47.661588
3.636264,20,49.310735
-13.902419,60,59.792194
3.123108,29,67.719303
6.178729,6,70.148663
3.119646,14,74.78185
-10.855744,60,82.596765
-18.108431,60,97.604927
8.049671,2,98.694352
8.317556,7,100.063653
-14.791206,60,111.373464
4.764667,8,113.788995
-19.501317,60,125.797399
7.012332,10,129.540553
6.151511,23,137.367532
4.46277,3,138.65932
-19.303358,60,150.424641
2.064685,3,151.631063
2.323436,6,154.268274
-1.149296,9,156.771628
7.777917,7,158.116816
5.414419,7,160.608713
-19.720494,60,178.532635
6.967188,4,184.731404
8.353284,8,187.18105
-13.93808,60,216.554135
7.134568,7,218.047984
4.847985,10,219.580055
4.815093,22,228.362354
-0.581775,18,231.52669
7.067074,1,232.765765
2.334733,5,234.027265
4.65095,3,235.314198
2.103668,7,236.789434
8.09127,5,238.169
7.8828,4,240.627386
-16.440878,60,257.562366
-20.156742,60,274.488804
8.185081,7,275.789318
6.28922,5,277.969001
8.284546,1,279.09974
9.019328,2,280.271936
1.959966,2,282.629396
5.270453,1,284.119759
4.600666,4,285.358656
6.916965,17,287.175434
6.811676,3,288.840701
3.524189,4,291.307353
0.250308,11,296.720602
-8.960226,45,312.56114
3.947892,34,318.484956
-19.753692,60,332.86217
-11.636617,30,342.437487
2.459404,1,343.416197
6.647917,9,347.979165
8.582685,9,350.405134
-12.190491,43,360.921087
-20.645609,60,371.505622
8.494989,2,372.675599
9.209147,5,373.855263
6.430318,1,375.337734
-25.699613,60,391.35402
0.747286,2,392.686245
9.076052,6,395.419657
3.716749,14,400.360255
7.374434,10,402.964806
0.962827,3,404.19131
-26.488656,60,419.18701
7.910584,7,422.210519
-21.787027,60,431.480744
7.391342,4,432.631625
1.074538,9,435.695728
6.904497,14,438.28337
2.700343,6,440.617644
5.252048,11,442.99734
2.765574,6,446.293097
7.900786,8,449.265367
-3.851963,44,461.426589
6.464458,18,470.033423
7.863489,9,473.771275
7.982106,10,476.262521
-19.012027,60,488.816976
-15.188952,60,512.845344
-22.224528,60,521.474993
-27.467286,60,536.525664
-22.160266,60,552.674947
0.164364,4,555.565081
-14.134974,60,573.351406
0.442581,10,579.35094
4.914475,12,583.900952
7.206016,10,585.410534
5.643104,1,586.545146
1.644989,14,590.41616
4.73173,5,591.708796
-22.566177,60,608.210121
-24.707125,60,622.447993
7.436278,2,623.661681
7.159645,8,626.241133
9.625786,3,627.471404
5.516356,4,628.702833
5.376878,9,631.162612
6.680963,5,633.504264
1.884613,11,637.059693
-12.506844,60,647.180935
7.713796,1,648.21505
-3.504387,27,654.915301
6.137508,5,657.409379
6.77825,1,658.599099
7.984309,2,659.79406
7.264855,1,661.005156
7.529515,1,662.288243
3.097964,2,663.540522
6.974064,1,664.656199
7.670713,1,665.8367
9.252368,2,667.331905
1.840628,18,671.12084
5.768074,3,674.909775
7.26738,9,677.605207
1.531512,10,679.154155
5.539977,5,680.473723
-14.013014,46,691.559314
2.303631,7,696.609705
5.882667,4,698.508539
6.18473,5,701.921699
8.153045,14,706.265706
7.087072,2,707.534076
0.468037,10,709.06462
-19.011677,60,728.357443
3.90602,10,733.159468
5.402898,9,736.742106
-19.448926,60,751.393244
5.701722,5,753.478092
-34.378913,60,768.603888
4.319933,4,770.745035
-0.473938,5,771.955422
6.655771,4,774.799773
7.372504,11,781.984686
7.558227,4,785.906797
8.997144,1,787.036261
0.372275,1,788.612575
-22.895077,60,798.661723
2.585435,5,801.361763
7.391626,2,802.423662
5.452937,4,804.725991
-8.852028,46,818.815187
-1.375233,30,832.152232
8.349728,1,833.828563
7.372738,9,838.713719
1.320527,26,848.803199
8.556819,3,849.939558
-26.921504,60,871.800995
5.264749,17,880.437691
1.575201,5,881.699701
7.54129,18,883.398837
-0.007032,17,886.956191
1.418867,11,890.587824
8.431953,4,891.770514
1.916555,1,892.741336
9.297535,4,894.427736
4.097153,4,895.531888
4.456912,3,896.763333
7.605182,2,897.845409
-30.261169,60,909.450412
-0.628326,9,914.977213
6.457027,9,919.317048
3.713773,6,922.624502
6.72721,4,927.393168
6.060174,1,929.225354
7.519694,6,933.424773
-8.596169,24,939.508321
4.95965,12,943.077082
8.619702,1,944.160396
-0.562093,16,947.787572
-2.492961,6,950.089391
6.819969,3,951.187035
1.54861,16,957.912758
7.023339,11,959.364189
7.869393,1,960.513729
-21.126759,57,972.959894
-19.06401,60,986.43247
4.14464,6,989.887565
7.725345,6,992.306882
3.534926,4,993.439723
-0.544874,2,995.387612
-24.399852,60,1011.116999
0.229599,8,1014.142876
2.085084,18,1019.465041
3.284967,2,1020.640798
2.926997,2,1021.813244
0.976339,1,1023.435118
5.812247,7,1024.764246
6.550397,1,1025.756456
2.714621,12,1028.169625
4.841258,5,1030.520815
3.292541,2,1031.625157
-11.007736,43,1043.709537
-10.542858,47,1061.233763
7.615309,2,1062.37469
7.038814,4,1065.756151
-0.272469,23,1071.677887
-22.084364,60,1085.696199
-36.118784,60,1093.993407
-0.95863,11,1097.665379
3.511419,7,1100.051805
8.157433,15,1104.813254
3.855453,3,1107.072205
6.404566,2,1108.211155
-0.980066,11,1109.620004
5.76871,2,1110.811466
