time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/n_updates,train/approx_kl,train/clip_fraction,train/loss
13,13.580645161290322,2.964407161290323,1,36,512,,,,,,,,,,
16,17.37037037037037,1.6059791851851855,2,63,1024,-0.010706671455409378,-0.014678597450256348,-2.4840576589107513,12.431701672077178,0.2,0.0001,10,0.0027335817,0.0,6.30361795425415
15,18.525,0.9469250625000001,3,99,1536,-0.00527095312718302,0.03920245170593262,-2.480590298771858,11.054147219657898,0.2,0.0001,20,0.0015207751,0.0,5.492028713226318
15,18.9,0.6052737300000001,4,134,2048,-0.008707780134864151,0.06826281547546387,-2.4752840250730515,11.943926751613617,0.2,0.0001,30,0.00369641,0.001171875,6.8983073234558105
14,19.13,0.24578183999999986,5,182,2560,-0.00668122146744281,0.11973047256469727,-2.4671158999204637,14.180605328083038,0.2,0.0001,40,0.0027147818,0.0,7.884023189544678
13,15.48,1.1321415400000001,6,233,3072,-0.008486887952312828,0.1601126790046692,-2.45350601375103,18.448163092136383,0.2,0.0001,50,0.0042971177,0.0099609375,8.793234825134277
13,16.59,0.48008475000000017,7,270,3584,-0.0025148011511191724,0.14017534255981445,-2.4438967257738113,21.306717264652253,0.2,0.0001,60,0.0007528673,0.0,10.4270601272583
13,16.78,0.4719424400000002,8,305,4096,-0.006435871016583406,0.2669824957847595,-2.446135014295578,25.21625201702118,0.2,0.0001,70,0.002031564,0.0,8.132772445678711
12,17.1,0.19972698000000022,9,359,4608,-0.007329079555347562,0.33990979194641113,-2.453699144721031,14.584269332885743,0.2,0.0001,80,0.0037419803,0.0,6.787304401397705
12,16.96,0.5280472599999999,10,403,5120,-0.007350095571018756,0.2669532895088196,-2.4476443022489547,22.019440793991087,0.2,0.0001,90,0.00402694,0.00234375,10.251648902893066
12,16.88,0.32216988999999985,11,442,5632,-0.004699719499330968,0.4337915778160095,-2.441818541288376,16.995458567142485,0.2,0.0001,100,0.0018853401,0.0,6.741497039794922
12,15.64,0.08378387000000004,12,492,6144,-0.003231735416920856,0.3113020658493042,-2.431843402981758,19.16097538471222,0.2,0.0001,110,0.0011609375,0.0,8.00220775604248
12,17.06,-0.35083574,13,535,6656,-0.0022898513037944213,-0.02223074436187744,-2.4278583854436873,22.998389983177184,0.2,0.0001,120,0.00047958829,0.0,10.289908409118652
12,13.27,1.85553479,14,591,7168,-0.006284221378155053,0.4472760558128357,-2.4208594024181367,20.06629487276077,0.2,0.0001,130,0.003427022,0.00078125,8.820137977600098
11,12.49,2.23864223,15,648,7680,-0.006742793420562521,0.2432239055633545,-2.406812345981598,24.243791890144347,0.2,0.0001,140,0.0049559325,0.0,9.38711166381836
11,12.61,1.1964879899999996,16,700,8192,-0.0030660527059808373,0.02651214599609375,-2.378616824746132,22.123674178123473,0.2,0.0001,150,0.0014101705,0.0,12.047131538391113
11,13.89,0.33935896000000004,17,730,8704,-0.0019213232561014592,0.1569398045539856,-2.3790538042783735,32.73701996803284,0.2,0.0001,160,0.0004785827,0.0,14.091477394104004
11,15.17,-0.7916189600000001,18,783,9216,-0.004211057146312669,0.1199488639831543,-2.3971267729997634,25.750645792484285,0.2,0.0001,170,0.0017334148,0.0,11.133482933044434
11,14.92,0.061264329999999985,19,834,9728,-0.0041027944127563385,-0.12812376022338867,-2.3913096129894256,37.840022349357604,0.2,0.0001,180,0.0013861363,0.0,15.677542686462402
11,11.91,2.10285417,20,888,10240,-0.0031337890482973307,-0.03925156593322754,-2.3890997409820556,34.10533204078674,0.2,0.0001,190,0.00097292545,0.0,16.814844131469727
11,11.45,2.2139043000000003,21,934,10752,-0.005361875344533473,0.25214606523513794,-2.3834676116704943,28.03603947162628,0.2,0.0001,200,0.0030984804,0.0,14.10541820526123
11,11.11,1.9356153699999996,22,993,11264,-0.004598429857287556,0.3374652862548828,-2.3486868321895598,23.884488272666932,0.2,0.0001,210,0.0026991381,0.0,9.39657974243164
11,11.74,1.4958499699999996,23,1033,11776,-0.006640088133281097,0.19083058834075928,-2.348304235935211,34.00540657043457,0.2,0.0001,220,0.0040322402,0.0107421875,16.796648025512695
11,14.14,-0.18470514999999993,24,1068,12288,-0.003935939120128751,0.3583104610443115,-2.360432705283165,23.078881311416627,0.2,0.0001,230,0.0022237687,0.0,8.66543960571289
11,16.66,-1.0821744899999999,25,1107,12800,-0.0032934537914115934,0.05543053150177002,-2.3332919120788573,34.84873003959656,0.2,0.0001,240,0.0016977779,0.0,14.54550552368164
11,16.73,-1.1041447100000004,26,1150,13312,-0.0074699437071103604,0.2359117865562439,-2.354146772623062,37.621245288848876,0.2,0.0001,250,0.00462295,0.0,15.910486221313477
11,16.43,-0.5197692500000001,27,1188,13824,-0.005394113552756608,0.31455087661743164,-2.339354506134987,27.71732439994812,0.2,0.0001,260,0.004189919,0.0,13.446870803833008
11,15.85,-0.15239633000000002,28,1238,14336,-0.004621753410901874,0.14870834350585938,-2.331399589776993,34.60307273864746,0.2,0.0001,270,0.0024292762,0.0,15.585171699523926
11,11.78,1.5688239699999997,29,1296,14848,-0.004228559395414777,0.31459152698516846,-2.3054147392511366,34.20827498435974,0.2,0.0001,280,0.0022047875,0.0,16.386491775512695
11,12.96,0.5178602499999999,30,1336,15360,-0.006577717431355268,0.4109276533126831,-2.2885780900716783,29.31449947357178,0.2,0.0001,290,0.0041851387,0.0013671875,17.62832260131836
