#{"t_start": 1784975356.2945, "env_id": "None"}
r,l,t
-22.287087,60,7.442033
-22.202212,60,9.595346
-14.381213,60,12.083373
-12.488373,60,14.215189
-16.579986,60,16.611009
-10.176459,60,18.753189
-12.114417,60,21.290853
-10.026858,60,23.443676
-8.063297,60,26.005449
-14.033991,60,27.901782
-8.006166,60,30.360488
-9.994173,60,32.385197
-14.022224,60,35.1209
-7.907605,60,37.277496
-6.055622,60,39.800456
-5.983119,60,42.009515
-6.026667,60,44.232626
-6.106738,60,46.665652
-6.005749,60,48.820574
-5.824502,60,51.328705
-7.762451,60,53.510021
-9.940587,60,55.772992
-8.03448,60,57.684178
-6.00918,60,60.196748
-9.948414,60,62.397179
-6.268644,60,64.869671
-5.860954,60,67.022269
-6.15381,60,69.493639
-6.011679,60,71.672406
-6.013186,60,74.130814
-5.856274,60,76.298016
-9.748736,60,78.389826
-5.88914,60,80.805951
-6.458568,60,82.888066
