rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss
60.0,4,128,-22.2446495,27,1,,,,,,,,,,
60.0,9,256,-17.83972125,26,2,-0.08707988262176514,0.2,0.0003,0.004439366,-2.4835753202438355,0.0,8.798511505126953,-0.023864072654396294,10,22.026751613616945
60.0,14,384,-16.352555,26,3,0.018026888370513916,0.2,0.0003,0.0035923254,-2.477956008911133,0.0,2.2781870365142822,-0.016403702762909235,20,6.926296925544738
60.0,19,512,-15.032075625000001,26,4,-0.02278900146484375,0.2,0.0003,0.0075684898,-2.464451277256012,0.01171875,1.3278783559799194,-0.020370980398729442,30,4.4273246884346005
60.0,24,640,-14.235389300000003,26,5,-0.30983400344848633,0.2,0.0003,0.010251962,-2.4453403472900392,0.0296875,0.31298646330833435,-0.026287848385982214,40,1.3509373784065246
60.0,29,768,-13.362852666666669,26,6,0.07926023006439209,0.2,0.0003,0.018077787,-2.4105184197425844,0.08828125,0.5033098459243774,-0.03163270652294159,50,1.3330159783363342
60.0,34,896,-13.020290071428573,26,7,0.1315177083015442,0.2,0.0003,0.011830356,-2.371125078201294,0.04609375,1.3515321016311646,-0.023707241006195545,60,3.0149391770362852
60.0,39,1024,-11.78526288235294,26,8,0.041075825691223145,0.2,0.0003,0.011865925,-2.337444305419922,0.0578125,0.17465700209140778,-0.018089034128934145,70,0.5189935326576233
60.0,44,1152,-11.182208210526317,26,9,0.03509002923965454,0.2,0.0003,0.012058232,-2.320533311367035,0.084375,0.08191989362239838,-0.012523523392155766,80,0.2624912403523922
60.0,49,1280,-10.764233761904762,26,10,0.49192821979522705,0.2,0.0003,0.018927649,-2.323495936393738,0.1359375,0.02766471356153488,-0.030735548539087176,90,0.1625338800251484
60.0,53,1408,-10.609738086956522,26,11,0.2706226110458374,0.2,0.0003,0.01987408,-2.216831958293915,0.22265625,0.00014554709196090698,-0.03410884570330382,100,0.16064683236181737
60.0,58,1536,-10.399262799999999,26,12,0.04588782787322998,0.2,0.0003,0.007918716,-2.207922875881195,0.025,0.17276550829410553,-0.01665775664150715,110,0.459362231194973
60.0,63,1664,-10.078191407407406,26,13,0.08042711019515991,0.2,0.0003,0.009723486,-2.1661372780799866,0.0390625,0.21895445883274078,-0.014306805934756995,120,0.46739663779735563
60.0,68,1792,-9.802643344827587,26,14,0.606981635093689,0.2,0.0003,0.010425457,-2.149281620979309,0.02734375,0.014006879180669785,-0.011338049219921232,130,0.13044209145009517
60.0,73,1920,-9.55921415625,26,15,0.6776440441608429,0.2,0.0003,0.017299723,-2.0953354597091676,0.090625,-0.03760354220867157,-0.01870825169607997,140,0.049416804872453216
60.0,77,2048,-9.360075323529413,26,16,0.3108333945274353,0.2,0.0003,0.017872784,-2.028765332698822,0.07109375,0.24536171555519104,-0.025626797368749975,150,0.587271249294281
