#{"t_start": 1785524021.8838725, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
0.324807,12,2.866262,True,True,0.011262510410542305,15.706700278115695
-1.01386,46,6.451177,True,True,0.00607031683476668,11.288055442894061
8.222979,4,8.476923,True,True,0.007996946358146887,2.35568820228573
7.114071,4,10.390214,True,True,0.0059609172065989416,4.625691320236937
7.786715,8,12.494025,True,True,0.001208305981931626,3.2113352575231344
3.74149,6,14.464063,True,True,0.005919696230459088,9.17911712115553
-15.000145,60,18.256424,False,True,0.0034905064056002886,27.166969246549776
2.978337,26,21.211588,True,True,0.00547348323161183,7.9050168053084935
1.764188,2,23.033578,True,True,0.0015038963282876594,14.68199870112205
6.808965,25,25.584403,True,True,0.0014054815657500136,3.5622827536458934
-8.86077,60,29.389021,False,True,0.01150350922245382,7.649244044773516
-0.037592,1,31.189331,True,True,0.00472561058596706,17.9539394148925
6.138336,2,32.856952,True,True,0.001106825939886774,5.586503873845121
7.749764,7,34.960629,True,True,0.00941004393388121,2.332919274125634
-18.873345,60,38.724992,False,True,0.016178581866038235,14.096892723600748
0.530298,4,40.703993,True,True,0.0024246542767670277,16.576060581159577
9.546513,19,43.190366,True,True,0.00337033386258008,1.8070906333368277
6.66767,4,45.007899,True,True,0.00873914493176847,4.667930672089153
-14.529313,60,48.832853,False,True,0.016236708353487336,25.015113852306655
6.289606,16,51.290603,True,True,0.007026339184956643,5.1952598638742
0.940429,1,53.067478,True,True,0.0023415682793630245,16.190441684508134
5.461576,26,55.784433,True,True,0.0020833477597100992,2.744654857737706
-19.013813,60,59.683726,False,True,0.014626020876911046,11.233800946840304
0.403902,21,62.288241,True,True,0.007955807208523444,11.465499373481485
-3.04471,50,65.708117,True,True,0.00031370136105246353,14.51706505369483
-7.411271,37,67.881401,True,True,0.005014551576926803,15.367416532739188
-3.447817,31,70.153104,True,True,0.00605108605571213,9.134641110638714
-14.852375,60,72.939316,False,True,0.01582408425383123,33.260195157646535
4.059281,12,74.500564,True,True,0.005942278438662443,7.589471999150381
4.142658,41,76.943317,True,True,0.010253714978255935,2.689874378666757
6.124602,17,78.627462,True,True,0.006263317536314389,4.3474365121880965
-13.87147,60,81.379089,False,True,0.002368389257656964,15.77724095979895
1.620039,17,83.14547,True,True,0.009021872435895181,8.324028474120865
-11.840614,60,85.644727,False,True,0.03112692151896274,27.72843929865977
6.763378,15,87.589544,True,True,0.00379079626215949,3.3803463131034808
-1.416642,26,89.651054,True,True,0.0010488651022578337,17.250337468388263
1.944773,10,91.638512,True,True,0.0044802087146432416,13.58081152062543
-18.819347,60,95.320863,False,True,0.02881026047949187,9.561479215252131
6.26102,2,97.273541,True,True,0.005169623713285096,6.060597805540613
-14.049485,60,101.194863,False,True,0.02652249117642005,20.646237011820244
4.356508,9,103.331707,True,True,0.002207319374563146,8.021316184835495
2.258296,1,105.072694,True,True,0.007578987200278928,13.817372864509554
5.339013,2,107.081647,True,True,0.004299927446878862,8.428088700201355
-0.206926,24,110.407449,True,True,0.0026360924430594832,13.614754106649881
-12.846779,60,115.660246,False,True,0.01758041597585709,11.829495039861401
3.620484,5,117.669306,True,True,0.0031585027146647064,11.826442586154261
2.764251,25,120.346227,True,True,0.007556856847700412,6.949574621651164
3.715379,4,121.947985,True,True,0.002973244273860173,10.807164614841986
7.912532,27,124.162427,True,True,0.0001514051212643487,2.6974542942827284
-12.057685,60,127.897877,False,True,0.025382494094332162,13.43126479067032
8.178822,9,129.582664,True,True,0.005382254910993922,1.763939357190242
-6.040419,46,132.321445,True,True,0.008596160313197834,7.2598079357463305
6.025403,18,134.2578,True,True,0.005077705016595838,5.302538019599245
1.093253,39,136.735487,True,True,0.006398866761197302,10.049327467984421
0.993998,35,139.528977,True,True,0.0005240009243464433,8.810388264204667
4.454059,9,141.01486,True,True,0.00900635184650484,8.644293599703984
