#{"t_start": 1785395450.3813584, "env_id": "None"}
r,l,t
0.324807,12,1.418281
-1.01386,46,3.691627
8.222979,4,5.019366
7.114071,4,6.256518
7.786715,8,7.543233
3.74149,6,8.876532
-15.000145,60,11.64719
3.060956,26,13.412706
1.764188,2,14.661802
5.904283,5,15.844712
9.295216,4,16.994625
1.081148,16,18.469725
3.494391,12,19.83867
6.082629,22,21.396137
3.686479,3,22.642172
-17.39206,60,25.130557
-0.684965,13,26.62325
1.868382,8,27.98264
6.522128,9,29.374493
-6.174704,54,31.703732
2.896439,18,33.193321
-19.946064,60,35.804745
5.983151,1,36.910044
6.70301,15,38.245073
1.709829,12,39.619112
-23.449876,60,42.096336
2.455842,11,43.709426
-15.629338,60,46.187028
8.44216,10,47.499633
3.630832,2,48.615223
2.047272,11,49.993151
3.185489,5,51.351711
3.942382,6,52.694657
-2.16009,7,53.939112
6.432727,1,55.093916
8.226513,3,56.419261
4.898259,13,57.828722
-1.251393,14,59.328544
8.46548,12,60.677072
8.573405,5,61.875037
-0.532309,8,63.198861
5.744357,2,64.322363
-18.03964,60,66.814068
8.041184,12,68.280423
9.319604,13,69.761126
2.695748,8,71.076195
6.00505,2,72.251377
-0.369829,30,74.000612
9.508922,5,75.271842
2.108365,15,76.81025
-8.355641,49,79.025569
4.855723,30,80.921434
1.013214,19,82.499379
-21.408881,60,85.082723
-0.531439,19,86.728485
-1.006565,42,88.707757
4.916766,2,89.916218
8.59058,2,91.059379
-0.444443,12,92.427464
5.874122,11,93.873496
5.683236,1,95.04546
-22.271615,60,97.47313
8.399458,2,98.56849
-0.941772,29,100.333657
-18.769712,60,102.785658
-11.45518,60,105.235467
5.841837,5,106.539959
6.447243,9,107.817699
-23.809212,60,110.317806
-12.445775,60,112.946651
-1.341067,18,114.548564
0.663223,4,115.698402
-17.578237,60,118.206575
6.200601,12,119.534847
1.410854,1,120.710427
5.354943,12,122.074974
8.365192,9,123.435034
7.677743,1,124.629055
7.168894,16,126.267274
-16.535649,60,128.761824
-24.390095,60,131.26482
-16.480469,60,133.660652
8.162266,6,134.987836
-16.858112,60,137.534613
0.401373,6,138.81168
-12.617255,60,141.30376
3.072726,5,142.56744
5.999568,6,143.787227
-6.145606,38,145.744657
6.196687,6,147.287273
4.747298,1,148.534253
-5.325497,26,150.269006
-17.28027,60,152.708291
4.265864,1,153.815395
1.882265,23,155.414946
1.271851,2,156.654823
5.700252,1,157.847802
6.645796,5,159.127156
7.847549,2,160.413458
3.465012,4,161.534915
5.375755,1,162.641213
6.395464,2,163.832736
1.727807,12,165.237236
6.231682,10,166.695247
3.631305,1,167.890505
5.178486,4,169.056945
-0.516421,15,170.544893
8.399904,4,171.833452
3.280054,5,173.148335
4.507879,2,174.253958
-1.899888,24,175.927923
4.603596,5,177.217371
4.649537,7,178.406538
-5.37194,27,180.22026
5.960137,2,181.481053
1.331134,1,182.703247
-10.307213,37,184.623286
3.559327,17,186.119606
6.426364,2,187.202365
2.794687,6,188.379186
-1.385491,17,189.832001
8.053872,5,191.022302
9.055033,5,192.246046
4.673927,2,193.431758
7.157321,5,194.740346
6.821766,2,195.787548
1.904362,18,197.369311
6.820902,4,198.598523
6.542435,11,199.98618
9.908299,1,201.170176
6.072843,6,202.41586
2.528412,3,203.607616
-19.616183,60,206.194052
7.767966,2,207.436589
8.252484,2,208.561455
7.090046,7,209.952987
4.689303,2,211.087401
-20.643826,60,213.449616
7.720652,1,214.654366
6.286328,8,215.906888
4.470249,5,217.175658
6.490942,6,218.546592
-2.580898,24,220.166615
9.561375,2,221.334975
8.680218,1,222.519069
-31.302079,60,224.850651
3.64006,1,226.09581
6.575101,3,227.301817
9.50783,4,228.493201
-8.591336,40,230.539812
-31.537068,60,233.104594
3.054023,2,234.387105
7.231178,5,235.752518
1.0951,8,237.049041
0.880323,3,238.227257
5.733612,15,239.628029
5.729533,6,240.987364
-36.325887,60,243.487886
3.319795,13,244.947838
1.074647,2,246.086234
4.580796,4,247.310602
4.552061,6,248.564001
4.415157,6,249.903721
-4.001054,17,251.461985
5.934313,10,252.813969
-0.471109,37,254.850879
0.743262,2,256.046784
