#{"t_start": 1784975181.825021, "env_id": "None"}
r,l,t
-10.618588,60,6.328403
-22.203395,60,8.053323
-10.072133,60,9.818801
-10.733617,60,11.580591
-14.525952,60,13.3823
-19.543219,60,15.259064
-12.202099,60,17.133563
-12.040377,60,18.875281
-17.985689,60,20.456401
-11.985354,60,22.0074
-24.010057,60,23.574816
-10.055175,60,25.179907
-14.035379,60,26.892753
-14.079041,60,28.734571
-10.053842,60,30.794102
-12.050535,60,32.716267
-17.896564,60,34.687367
-12.617903,60,36.633976
-16.050784,60,38.564071
-11.876407,60,40.719748
-13.556433,60,42.866085
-10.241614,60,44.990006
-16.116198,60,47.160484
-12.004503,60,49.048516
-12.01133,60,50.656898
-18.038104,60,52.517339
-11.989487,60,54.42089
-20.102691,60,56.416842
-12.012407,60,58.361096
-10.033684,60,60.430758
-10.045957,60,62.360697
-12.035458,60,64.211512
-14.014835,60,66.148502
-12.441396,60,68.1157
