episode,timesteps,episode_reward,episode_length,entropy
1,58,-3.9095689621806833,58,2.4740426540374756
2,118,-22.135218707548898,60,2.4771788120269775
3,178,-10.4617460328568,60,2.4736506938934326
4,238,-7.993875767396691,60,2.4709675312042236
5,298,-14.949876697272687,60,2.4704387187957764
6,358,-20.042205715081593,60,2.4732205867767334
7,418,-12.042663663606879,60,2.478634834289551
8,478,-12.860033675531202,60,2.4735586643218994
9,538,-21.727243962558948,60,2.4747731685638428
10,598,-13.00958629698432,60,2.47383713722229
11,658,-22.00463001097613,60,2.4724555015563965
12,718,-8.572041755088215,60,2.471475839614868
13,778,-10.01028614290841,60,2.4717493057250977
14,838,-15.946256541739904,60,2.472193479537964
15,898,-12.653178857564512,60,2.4707305431365967
16,958,-10.002386495427956,60,2.472853660583496
17,1018,-20.190239667466226,60,2.47799015045166
18,1078,-11.807136368537183,60,2.470519542694092
19,1138,-17.392580377535158,60,2.470109224319458
20,1198,-12.005164283397566,60,2.4717705249786377
21,1258,-12.142616251678032,60,2.4700825214385986
22,1318,-10.316275117619764,60,2.46878719329834
23,1378,-16.474657202226084,60,2.467588186264038
24,1438,-10.402673891975041,60,2.473029136657715
25,1456,7.518711435875489,18,2.4684503078460693
26,1465,5.640124828110119,9,2.4684934616088867
27,1525,-14.651923934541088,60,2.4728548526763916
28,1585,-13.9381698428917,60,2.468548059463501
29,1645,-14.04725841366932,60,2.475550651550293
30,1705,-13.406052350649967,60,2.4735686779022217
31,1765,-10.38693600385382,60,2.469635486602783
32,1825,-13.20053469881167,60,2.4697823524475098
33,1885,-6.207285536686203,60,2.4685778617858887
34,1945,-14.259939868455064,60,2.473723888397217
35,2005,-16.975015952749978,60,2.4707117080688477
