run_id,learning_rate,gamma,n_steps,entropy_coef,gae_lambda,net_arch,timesteps_to_70pct_success_proxy,success_proxy_auc,timesteps_to_positive_reward,reward_auc,reward_std,reward_cv,success_proxy_rate_final,final_mean_reward,success_proxy_rate_overall,n_episodes,mean_episode_length,wall_clock_s
20260730_020925_single_target_grid_combo0_seed0,0.0007,0.99,5,0.0,1.0,"[64, 64]",12334,0.8124001392903111,14578.0,-0.23100366539218448,12.026936025115486,1.389506407607829,0.9054726368159204,2.214856278606965,0.8343313373253493,1002,14.89820359281437,1115.13194
20260730_020925_single_target_grid_combo1_seed0,0.0007,0.99,5,0.0,0.95,"[64, 64]",14124,0.8305846821100523,14786.0,-0.17107379264911507,12.335361199219173,1.4237053237988788,0.8215962441314554,1.0324675774647887,0.8450704225352113,1065,14.012206572769953,1255.931507
20260730_020925_single_target_grid_combo2_seed0,0.0007,0.99,5,0.01,1.0,"[64, 64]",14259,0.7925972540146132,14256.0,-0.5744749024543372,11.866928016244264,1.376714869800584,0.7833333333333333,0.4109762833333333,0.8136160714285714,896,16.631696428571427,1095.383904
20260730_020925_single_target_grid_combo3_seed0,0.0007,0.99,5,0.01,0.95,"[64, 64]",12947,0.8482556647805477,14572.0,-0.15798998713005774,12.844952717628408,1.4730166700402958,0.7947598253275109,-0.2696163711790391,0.8707423580786027,1145,13.060262008733625,1350.341083
20260730_020925_single_target_grid_combo4_seed0,0.0007,0.99,16,0.0,1.0,"[64, 64]",4078,0.8278232218648628,,-0.46394408898485906,11.980858445772332,1.3756236135124968,0.8606965174129353,0.7327408905472639,0.844776119402985,1005,14.869651741293533,1214.017887
20260730_020925_single_target_grid_combo5_seed0,0.0007,0.99,16,0.0,0.95,"[64, 64]",14161,0.8107428450918134,14844.0,-0.7690048645522284,11.565256782003138,1.3506327055880993,0.8275862068965517,-0.12061685632183895,0.8183908045977012,870,17.16551724137931,1068.908512
20260730_020925_single_target_grid_combo6_seed0,0.0007,0.99,16,0.01,1.0,"[64, 64]",1,0.8643320289571569,,0.5438577918149764,11.271362065905016,1.3710738964890588,0.8545454545454545,0.11886409999999986,0.8687329079307201,1097,13.585232452142206,1301.712635
20260730_020925_single_target_grid_combo7_seed0,0.0007,0.99,16,0.01,0.95,"[64, 64]",3180,0.8583794684545492,14669.0,0.13768834372915137,11.391732496557525,1.398097471852147,0.8839285714285714,0.5111688258928572,0.8792486583184258,1118,13.381932021466906,1330.705423
20260730_020925_single_target_grid_combo8_seed0,0.0003,0.99,5,0.0,1.0,"[64, 64]",14806,0.8502651677018148,14983.0,-0.5148375305667364,12.156023573008794,1.4041416924722767,0.8461538461538461,-0.6013380000000002,0.8621022179363549,1037,14.450337512054002,1242.119193
20260730_020925_single_target_grid_combo9_seed0,0.0003,0.99,5,0.0,0.95,"[64, 64]",7986,0.8532333827912945,14134.0,0.14053597740334794,11.325256647981016,1.3766060711826384,0.8944954128440367,1.7632604036697246,0.8675252989880404,1087,13.727690892364306,1307.252257
