#{"t_start": 1785276765.136624, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-22.144319,60,7.231698,False,True,0.07588895344423977,89.95360353012593
-16.240501,60,9.892578,False,True,0.05848354475043331,84.7957693025928
-18.240523,60,13.390544,False,True,0.03430810351793205,85.55141873174958
-12.49633,60,16.022482,False,True,0.0011130909952368796,88.98970384950304
-8.148322,60,19.378921,False,True,0.06002946754367258,78.92417999743265
-8.499215,60,22.025605,False,True,0.020309694810097135,83.56930652482477
-6.465434,60,25.370903,False,False,0.00978492590068726,82.0432633160293
-16.08775,60,28.173991,False,True,0.10550944152070849,85.57014901212519
-6.417374,60,31.520168,False,False,0.0013200469205463146,85.36215812573764
-8.028314,60,34.223555,False,True,0.13594622580996307,82.68375374477314
-8.105852,60,37.639575,False,True,0.014243729525074637,76.00200591578322
-8.196431,60,40.365232,False,True,0.03300364208733982,72.71025199777822
-10.041199,60,43.753773,False,True,0.12456611175338214,88.48822902103095
-6.163783,60,46.419944,False,False,0.06428824939741068,85.35092023181208
-6.535149,60,49.865395,False,False,0.004407724922204576,85.92834850191161
-6.178445,60,52.56243,False,False,0.05137424887918071,87.43227586774901
-6.112345,60,55.25954,False,False,0.08191066588558386,81.40004371973038
-6.41926,60,58.67589,False,False,0.0026550204515316325,80.48513040679966
-6.04658,60,61.328629,False,False,0.13644981692165675,75.8781785459777
-6.272927,60,64.824491,False,False,0.005702724853670918,81.35446291118267
-6.036041,60,67.520544,False,False,0.11404846271779058,84.9269040999621
-6.269886,60,70.871988,False,False,0.011541313917781628,84.36413909834346
-6.173498,60,73.509392,False,False,0.06190807403647526,88.57296098295798
-6.798958,60,76.89226,False,False,0.019282106131447388,83.75267656798
-10.296898,60,79.667058,False,True,0.03857617471544898,66.26086197574263
-6.30227,60,82.966589,False,False,0.08324138044593624,74.60952177535486
-6.020526,60,85.583601,False,False,0.1392626376538154,76.79140724942091
-6.076793,60,88.966857,False,False,0.07324047607677402,83.68501126498776
-6.238763,60,91.662101,False,False,0.04253372492274952,69.29227453234925
-6.128943,60,95.021577,False,False,0.09641983871449156,82.86273477503889
-6.310574,60,97.640742,False,False,0.018784963863881787,86.37353659574025
-6.217801,60,100.21181,False,False,0.01745877369998182,88.12926771410395
-6.119192,60,103.593367,False,False,0.024342178834903173,77.57375441756679
-6.236125,60,106.31099,False,False,0.03266306785382911,89.80042071969832
-6.444552,60,109.730767,False,False,0.02923789422562136,85.87251139033955
-6.083028,60,112.332295,False,False,0.03294132755456674,89.87164988111968
