time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance
512,78,-16.46060075,60.0,1,6,,,,,,,,,,
1024,79,-14.505931375,60.0,2,12,10,5.720813401043415,-2.4772246956825255,0.173046875,0.2,0.0003,0.014909344,-0.035723140800837425,1.1813079118728638,-0.00765383243560791
1536,80,-12.737113999999998,60.0,3,19,20,1.7435002885758877,-2.455504819750786,0.085546875,0.2,0.0003,0.013185844,-0.022522250260226428,0.8734795451164246,0.010838747024536133
2048,80,-12.17187053125,60.0,4,25,30,1.0525216624140739,-2.4287815153598786,0.123828125,0.2,0.0003,0.013993347,-0.02484401174588129,0.5301885008811951,0.08675992488861084
2560,80,-11.376643625,60.0,5,31,40,0.9701527111232281,-2.4044411808252333,0.1279296875,0.2,0.0003,0.014232016,-0.022159916744567455,0.4408712387084961,0.12886029481887817
3072,80,-10.723265500000002,60.0,6,38,50,0.49335549287498,-2.382461059093475,0.0740234375,0.2,0.0003,0.011153594,-0.01721287829859648,0.03397554159164429,0.45357340574264526
3584,80,-10.25152075,60.0,7,44,60,0.21705690994858742,-2.3327000558376314,0.0900390625,0.2,0.0003,0.012462953,-0.018873708217870443,-0.04113338887691498,0.7451593577861786
4096,79,-9.598348529411764,60.0,8,51,70,0.19847787786275148,-2.3389635503292086,0.13046875,0.2,0.0003,0.013824519,-0.01992692595231347,-0.09148532897233963,0.6882458031177521
4608,79,-9.29192097368421,60.0,9,58,80,0.06461999220773577,-2.318648341298103,0.1232421875,0.2,0.0003,0.014512492,-0.01879374175914563,-0.11629841476678848,0.821337878704071
5120,79,-8.995564166666664,60.0,10,64,90,0.08826561302412302,-2.2801062643527983,0.1603515625,0.2,0.0003,0.013634313,-0.019171359803294763,-0.10345456749200821,0.6643727421760559
5632,79,-8.818155478260872,60.0,11,70,100,0.014363418048014864,-2.2969821989536285,0.14296875,0.2,0.0003,0.014411412,-0.018293615087168293,-0.1340000033378601,0.9065636396408081
6144,79,-8.716549850000002,60.0,12,77,110,0.1577966868877411,-2.296680447459221,0.2029296875,0.2,0.0003,0.016959835,-0.02692151244264096,-0.059593237936496735,0.40108388662338257
6656,79,-7.9556636,60.0,13,83,120,0.5300215300172567,-2.2866849273443224,0.0935546875,0.2,0.0003,0.012245765,-0.020390738861169665,0.05039845407009125,0.33809369802474976
7168,79,-7.49031717,60.0,14,89,130,0.07511338978074492,-2.291690331697464,0.165625,0.2,0.0003,0.014643015,-0.020321519987192005,-0.0941758006811142,0.7573290020227432
7680,79,-7.124773560000001,60.0,15,96,140,0.04581545884720981,-2.2990184098482134,0.123828125,0.2,0.0003,0.013561536,-0.01736346199759282,-0.12211208045482635,0.8149775117635727
8192,79,-6.903312079999999,60.0,16,102,150,0.06532636623596773,-2.25538070499897,0.0583984375,0.2,0.0003,0.008771082,-0.012697773560648783,-0.13549138605594635,0.7037542164325714
8704,79,-6.714662440000001,60.0,17,109,160,0.058639712352305653,-2.2195939153432844,0.16640625,0.2,0.0003,0.016318318,-0.0222753527428722,-0.11451254040002823,0.6606306731700897
9216,79,-6.598118509999999,60.0,18,115,170,0.007073189743096009,-2.241389608383179,0.156640625,0.2,0.0003,0.013602992,-0.02125997096300125,-0.16055303812026978,0.9386356808245182
9728,79,-6.54729698,60.0,19,121,180,0.006031115836231038,-2.2511669874191282,0.157421875,0.2,0.0003,0.016325925,-0.022021755465539174,-0.1503230780363083,0.9026504307985306
10240,79,-6.561937969999999,60.0,20,128,190,0.06867596062365919,-2.233565020561218,0.199609375,0.2,0.0003,0.013843224,-0.022922578896395863,-0.11614508181810379,0.6226269006729126
10752,79,-6.53514685,60.0,21,134,200,0.0043836466094944624,-2.24706868827343,0.0876953125,0.2,0.0003,0.011636205,-0.014310105860931798,-0.10661807656288147,0.9181221127510071
11264,79,-6.527912969999997,60.0,22,140,210,0.05647452861303463,-2.241240608692169,0.1033203125,0.2,0.0003,0.013734451,-0.015395318641094492,-0.10186973959207535,0.5640997290611267
11776,77,-6.4583899800000015,60.0,23,151,220,0.003525610495125875,-2.2587040305137633,0.1431640625,0.2,0.0003,0.012901185,-0.022681660682428627,-0.121867835521698,0.9498498737812042
12288,75,-6.295194,60.0,24,161,230,0.0024462411340209654,-2.240342158079147,0.1251953125,0.2,0.0003,0.012047062,-0.021519611426629125,-0.16107822954654694,0.9687371924519539
12800,75,-6.27122469,60.0,25,168,240,0.003087693678389769,-2.229053717851639,0.1146484375,0.2,0.0003,0.011219789,-0.015579805208835751,-0.11397399753332138,0.9532631486654282
13312,75,-6.245246590000001,60.0,26,177,250,0.002107230781984981,-2.2214462012052536,0.110546875,0.2,0.0003,0.011402383,-0.016923736105673014,-0.13803865015506744,0.9707434959709644
13824,74,-6.220581279999999,60.0,27,185,260,0.0028406027500750496,-2.1610771000385283,0.1541015625,0.2,0.0003,0.012793381,-0.022408207616535947,-0.16287761926651,0.9530775807797909
14336,74,-6.221673360000002,60.0,28,192,270,0.003265974602254573,-2.1196259945631026,0.080078125,0.2,0.0003,0.00889694,-0.01481526151765138,-0.10704416781663895,0.9477294348180294
14848,74,-6.224239179999999,60.0,29,200,280,0.057658741029445085,-2.17986142039299,0.1421875,0.2,0.0003,0.011368157,-0.01184011012664996,-0.10999972373247147,0.4774707555770874
15360,73,-6.24059531,60.0,30,207,290,0.004615937769995071,-2.17289337515831,0.0796875,0.2,0.0003,0.013172369,-0.012876199354650453,-0.13796572387218475,0.9364257007837296
15872,74,-6.22640517,60.0,31,214,300,0.059865455457475035,-2.1593803822994233,0.11953125,0.2,0.0003,0.011364469,-0.014821964292787015,-0.1092233955860138,0.6389766335487366
16384,74,-6.224351179999998,60.0,32,221,310,0.04981069600326009,-2.1779991775751113,0.143359375,0.2,0.0003,0.013364278,-0.016242478403728455,-0.10457146912813187,0.652644157409668
16896,74,-6.221199240000001,60.0,33,227,320,0.007596421323250979,-2.2416854232549666,0.1732421875,0.2,0.0003,0.017778104,-0.019729794899467377,-0.11145981401205063,0.8861583843827248
17408,74,-6.24405208,60.0,34,234,330,0.0021128197840880603,-2.2257826685905457,0.1240234375,0.2,0.0003,0.011079407,-0.020683901326265186,-0.14135175943374634,0.9690560232847929
17920,74,-6.24701177,60.0,35,241,340,0.061194127734052015,-2.239372768998146,0.15859375,0.2,0.0003,0.012857229,-0.014204581396188586,-0.11033741384744644,0.5690127611160278
18432,74,-6.26299878,60.0,36,248,350,0.06294295109109953,-2.24762718975544,0.108984375,0.2,0.0003,0.01186985,-0.014493837981717661,-0.10891315340995789,0.6177063882350922
18944,74,-6.270022909999999,60.0,37,255,360,0.005178318117395974,-2.2541216015815735,0.150390625,0.2,0.0003,0.014505001,-0.02318625310435891,-0.1524704098701477,0.9457107596099377
19456,74,-6.296786309999999,60.0,38,262,370,0.0026294896058971064,-2.239052501320839,0.1123046875,0.2,0.0003,0.011191451,-0.0199763783137314,-0.14243192970752716,0.9689879287034273
19968,74,-6.297295469999999,60.0,39,269,380,0.05316829420626164,-2.219972750544548,0.09921875,0.2,0.0003,0.009067524,-0.014627228281460703,-0.10348570346832275,0.7284228801727295
20480,74,-6.289732119999999,60.0,40,275,390,0.003650172999186907,-2.2453168004751207,0.109765625,0.2,0.0003,0.010246038,-0.014298879622947425,-0.1235271692276001,0.9059055373072624
20992,74,-6.323111099999998,60.0,41,282,400,0.00445788509096019,-2.265215188264847,0.101953125,0.2,0.0003,0.0118673835,-0.019535922986688093,-0.13925978541374207,0.9402285888791084
21504,74,-6.310145869999999,60.0,42,289,410,0.032514277037989814,-2.265162914991379,0.098046875,0.2,0.0003,0.012322882,-0.013408920908113941,-0.10227324068546295,0.714536190032959
22016,74,-6.29120836,60.0,43,295,420,0.0034358062272076494,-2.2344313710927963,0.1193359375,0.2,0.0003,0.012294096,-0.019140409358078612,-0.140194833278656,0.9553805328905582
22528,74,-6.28516379,60.0,44,302,430,0.0019205354976293166,-2.24737930893898,0.0818359375,0.2,0.0003,0.012988796,-0.01793400520691648,-0.14968577027320862,0.9644174687564373
23040,74,-6.31126579,60.0,45,310,440,0.003973279532510787,-2.2624492973089216,0.1138671875,0.2,0.0003,0.010950422,-0.013559181505115703,-0.10427653789520264,0.9449620470404625
23552,74,-6.308085170000001,60.0,46,316,450,0.0016170973773114382,-2.2722577661275865,0.0970703125,0.2,0.0003,0.011314247,-0.013943219574866817,-0.1388060748577118,0.9808003902435303
24064,74,-6.2977871400000005,60.0,47,323,460,0.025851096589758527,-2.290613290667534,0.0373046875,0.2,0.0003,0.0073521384,-0.010329053224995732,-0.13815395534038544,0.8037107735872269
24576,74,-6.315580239999999,60.0,48,330,470,0.0027038469008402897,-2.253135454654694,0.14140625,0.2,0.0003,0.013538396,-0.02132238755002618,-0.13809014856815338,0.9609241634607315
