#{"t_start": 1785277330.2218492, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
8.867865,1,2.143294,True,True,0.0002863726445010168,1.8836850749719372
5.446756,6,5.902605,True,True,0.0010828021447650358,7.630656654203316
2.236947,15,11.098871,True,True,0.0014825260764962014,12.266031743687307
-23.256798,60,24.061426,False,True,0.011453735276533471,56.76813818779213
7.053882,15,27.983733,True,True,0.004813163024488829,3.6779293061608818
2.980164,3,29.259077,True,True,0.00015279062579666913,12.262796137297151
0.560307,24,31.227732,True,True,0.006747361655809296,11.752374603410333
3.597913,19,37.815271,True,True,7.148115731915009e-05,5.140898895135858
-1.360102,10,41.487282,True,True,0.004264803511946453,15.90151131782424
2.113812,16,48.701204,True,True,0.002537524008963055,9.505490946285056
-17.428114,60,63.274329,False,True,0.011691028721147103,33.51882245191581
-5.293157,44,68.998169,True,True,0.011098193506182106,17.449308457610943
4.173112,1,70.923345,True,True,0.0023033911818403034,10.360767710061523
-14.881978,60,81.008307,False,True,0.026101963111936487,33.372436492400006
-21.936122,60,101.284455,False,True,0.03432068873937504,15.263620772745641
8.517861,16,106.131662,True,True,0.002674853640724683,3.1669434531352136
4.453249,2,108.630734,True,True,0.00016856711455869814,9.722634749734755
2.382219,8,114.371707,True,True,0.00016587941132608156,13.031995570609817
-1.206041,4,116.054001,True,True,7.631649716764353e-06,15.382266001580174
0.293219,10,124.279989,True,True,0.0037837085339754717,15.823235876351792
6.589543,4,127.208487,True,True,0.0005963968658989072,6.488116970488457
4.639393,12,136.860815,True,True,0.007246073356042112,8.193715457498
0.860342,4,139.362732,True,True,0.00464668380950363,17.06541015611387
0.797848,6,144.786863,True,True,0.007251280463373603,15.912824793622216
9.255256,2,147.364288,True,True,0.011914688834411921,1.053818133639206
-30.595087,60,172.099377,False,True,0.0055558515547212825,31.96078032094884
6.499768,7,173.880831,True,True,0.004450003265166367,4.805830214810441
7.755668,6,176.307835,True,True,1.2403960786734592e-05,3.6092473367814644
6.637169,10,178.655717,True,True,0.0003488165771558197,4.469806529726838
6.974538,15,183.151917,True,True,0.00032409626531651817,5.110472240916131
-8.679211,49,190.414725,True,True,0.009569961893492848,12.980046454128956
2.474259,3,191.52514,True,True,0.002694783758522803,12.465576174570808
3.661616,19,201.873925,True,True,0.0027564478414463813,7.984977313152884
5.001982,8,205.637922,True,True,0.003550045257797159,7.7201746623595255
-0.882984,29,212.70144,True,True,0.0012640517457737331,15.755970605719186
4.239103,6,213.890732,True,True,0.004529489633550839,8.344931968867858
4.160556,6,215.098135,True,True,0.004340836296404501,9.846128408158926
8.652471,2,216.236339,True,True,8.988714141303956e-06,3.2921331396647
0.724169,9,217.70282,True,True,0.0044321175115258835,15.114619365667563
4.591624,2,219.168257,True,True,0.0031615972900748933,9.42606750550684
7.116225,1,220.31738,True,True,0.004743307981995047,5.051986570231099
8.915013,2,223.577896,True,True,0.003745600824158559,1.3606820479680528
7.453975,2,226.258419,True,True,0.004335836312500609,4.291364077392981
-6.254493,21,230.088577,True,True,0.002695228242072201,16.273806825307823
-3.567443,39,236.340093,True,True,0.0027335979205481455,4.662335492555311
7.598266,2,237.725227,True,True,0.0023510814561358453,3.7151344622457505
-0.099894,14,247.210819,True,True,0.01045365678429141,14.95766878205165
7.125629,5,251.994818,True,True,0.006727898796067106,4.23589975096712
6.712971,1,252.995136,True,True,0.00971299053056591,5.784305082438974
-30.96072,60,264.84742,False,True,0.006056173919597173,33.46219558823498
6.366686,9,267.757473,True,True,0.00229743532582831,6.141533264968462
5.169237,8,268.995907,True,True,6.296550098468592e-05,7.570717295467601
4.745793,4,271.194845,True,True,0.004779588887203979,6.260912495551853
-19.692769,60,281.642394,False,True,0.011779077277672637,18.231137369562056
5.375801,3,282.785068,True,True,0.0027322046209830248,7.489183637363122
1.384926,1,283.849561,True,True,6.078492570393834e-11,15.387719984073492
3.833987,5,286.381229,True,True,5.977330010387171e-05,8.784347941002627
9.416172,1,287.475903,True,True,0.0002629624480146942,0.8928934385200459
-12.173321,60,300.348706,False,True,0.009105645850370613,49.589273134398674
-1.236059,12,301.88207,True,True,0.00716339458352723,16.99287602498843
-0.156945,47,318.350529,True,True,0.009398506606013707,6.364667824846312
4.174169,3,319.46049,True,True,0.007804691480000767,10.760472134973382
7.298764,7,321.69757,True,True,0.009837404409635868,3.9048618430069806
0.925703,7,326.197934,True,True,5.087651654134273e-11,15.231390804198465
-1.604635,17,331.910255,True,True,0.011906047185615776,14.139362853632967
7.995459,5,335.809924,True,True,0.003965895444698258,3.486467363555447
6.8175,2,336.894819,True,True,0.004781942416941737,3.5628163221695592
1.152945,16,346.514845,True,True,0.002620061298317527,13.080445972767485
6.920674,18,350.960814,True,True,0.0004149505627846729,3.1110783558673494
6.821152,7,353.34117,True,True,0.009096993024789286,3.7926062843892328
2.522847,10,356.90272,True,True,0.004715739928298063,11.226806613975008
6.457209,5,358.126824,True,True,0.0022360025550451365,6.67084758253904
3.995023,1,359.213318,True,True,0.0047172916521412605,10.683767870381056
-4.5999,32,367.354136,True,True,0.00691164423885992,16.614977227518292
-3.179201,25,372.813215,True,True,0.005762931955964508,15.770275116756466
2.515879,3,374.907961,True,True,0.0057766579129317,12.722045039651352
3.127809,9,378.193362,True,True,0.004705083921776375,9.691304220169867
0.728664,6,380.512002,True,True,0.00485618320062586,15.008756134403297
5.645138,4,381.671271,True,True,0.007169332257055206,6.237838802260019
4.640228,1,382.732333,True,True,0.00022831104498169646,9.516387914323332
-23.278811,60,404.218302,False,True,0.030474325537693168,14.46179400217211
6.788224,2,405.315402,True,True,0.004219088131154172,5.941198083094765
3.406251,6,406.512408,True,True,0.002737462262239915,11.313613310951084
8.759863,2,407.593489,True,True,3.851820763840124e-05,2.886747525993143
0.764426,13,413.556445,True,True,0.007138730925917427,14.141020319183395
6.507009,1,414.777021,True,True,3.438111962933768e-05,6.147065301654976
2.324924,4,417.08274,True,True,0.0009173061757223738,12.927381401170107
5.886525,1,418.577052,True,True,0.0015133007429979036,7.268488816755888
7.444231,10,421.956895,True,True,0.0027314107262709666,5.845400858047874
4.248147,16,431.965121,True,True,8.948291074549822e-06,7.73610971391548
4.54206,3,433.06069,True,True,0.0013709344034905958,9.352404938969862
9.576885,3,435.166916,True,True,0.0007956643547816986,1.6540835525920936
4.286517,3,436.361126,True,True,0.001964178060218112,9.121712506453491
6.042433,6,439.235846,True,True,0.002247925585171494,6.595619664729727
3.69773,6,441.88058,True,True,0.0022880989689015186,8.940911810099044
7.131392,1,443.025622,True,True,0.004714406795516334,5.024580958713364
6.208112,4,444.24304,True,True,0.0029046400577733477,5.40211288716485
0.220279,20,446.037981,True,True,0.0029934402961731103,13.997757867736041
2.448903,2,447.137062,True,True,0.001479478100103614,13.301411285931293
5.057832,3,449.520932,True,True,0.00448470358974245,8.49638069119549
8.669719,2,451.635358,True,True,0.004556781200294145,1.5147514807444615
-27.159658,60,482.833443,False,True,0.017313731612274303,7.357479903981503
6.226433,1,484.477821,True,True,0.004751593461720469,6.657974264384544
5.741635,3,487.13397,True,True,1.1555411247138672e-05,6.247274937241128
2.276863,2,488.210639,True,True,0.003657616108400344,13.32889136134431
9.907532,1,489.31641,True,True,7.817088576401662e-07,0.0044627695041087505
1.449283,9,493.18986,True,True,7.772471264341427e-06,13.544368771546603
6.023508,3,496.215851,True,True,0.0001060351400546198,6.228568640289537
-7.589215,30,509.41494,True,True,0.010095860395750026,17.14492631277435
1.918511,7,513.403512,True,True,0.00808193367029026,12.134319868026605
3.57706,6,516.330711,True,True,0.006820458913086232,10.496069205543252
1.568583,3,519.190755,True,True,0.005672951871221077,14.44509986998085
-35.309315,60,543.985384,False,True,0.04041967320117736,9.792496011216175
3.925824,4,545.276386,True,True,0.005581593946989233,9.469774412218358
1.540942,1,546.366692,True,True,0.004141813083290831,15.108787364932237
2.366822,1,547.569874,True,True,0.00038036672758561983,13.617364093472649
4.501054,4,549.891891,True,True,0.0004397616914271563,9.827709184505164
4.809185,2,551.918948,True,True,0.0023238863636741523,9.082428022199878
7.22469,2,553.140053,True,True,0.002201405346467496,4.3804335935290135
2.131157,3,554.254857,True,True,9.378046868482046e-05,11.450651983601986
5.71441,8,555.557113,True,True,0.0023972285628866856,5.800594003135766
-23.244799,60,569.707143,False,True,0.0031797090717288444,30.184981608211128
2.545116,2,571.886373,True,True,0.0004049385978259223,13.422484037390635
2.478391,19,581.121568,True,True,0.007721793496556274,6.668977555666022
5.149849,3,582.329669,True,True,0.0004614048162285979,7.6845374810196825
6.131787,6,584.806934,True,True,0.004834378901326964,6.139179946410386
1.562989,4,586.071616,True,True,0.004854564597419241,12.84346750188153
9.438789,3,587.092522,True,True,0.0018714270740876398,0.5280146440623192
5.414593,3,588.26395,True,True,0.00023940256580177533,7.8849482175035766
3.193182,1,589.376202,True,True,0.004967435520473122,12.130082878907062
6.044561,2,591.479926,True,True,0.0022969490621774303,7.085092578266086
5.337194,2,593.573657,True,True,0.0046673845562829434,7.335146920760662
-0.049451,2,594.762108,True,True,0.0025625745388970396,17.72263476842849
2.616734,1,595.917636,True,True,0.0019656688889477785,13.16769985105083
9.134281,4,597.187355,True,True,1.00140675156693e-07,1.502312920659367
4.00063,2,598.251537,True,True,0.0005793282004469859,10.58206344129573
9.764929,1,599.261637,True,True,0.000558574615793101,0.254669584604025
0.128002,8,601.637772,True,True,0.006915498107518459,15.8210516263984
4.906819,1,602.722231,True,True,0.004608787706062078,9.038917783437729
1.891005,2,603.979179,True,True,0.0069116499805638495,12.022405250462818
6.083216,4,608.209677,True,True,0.0007190146702581168,6.4901100002130105
