time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance
512,67,-16.261314125,60.0,1,7,,,,,,,,,,
1024,68,-14.2657619375,60.0,2,14,10,5.620484241843224,-2.4773208677768705,0.1712890625,0.2,0.0003,0.0148686785,-0.035841861204244194,1.0586540699005127,-0.005871891975402832
1536,68,-12.594911666666667,60.0,3,22,20,1.6712785109877586,-2.458337178826332,0.0796875,0.2,0.0003,0.012518423,-0.021669247961835936,0.7324146032333374,0.004762411117553711
2048,68,-12.009735500000001,60.0,4,29,30,1.0821470968425273,-2.436606454849243,0.1212890625,0.2,0.0003,0.010737225,-0.025040115241426974,0.40761494636535645,0.07872295379638672
2560,68,-11.308776075,60.0,5,37,40,0.9944309778511524,-2.4143375873565676,0.08046875,0.2,0.0003,0.012955444,-0.01981245795323048,0.3301340639591217,0.14923429489135742
3072,68,-10.7158395625,60.0,6,44,50,0.48813402000814676,-2.408209028840065,0.0744140625,0.2,0.0003,0.009463084,-0.01823815325042233,-0.1323118507862091,0.41142725944519043
3584,68,-10.328437571428571,60.0,7,52,60,0.25779477283358576,-2.3822591811418534,0.0880859375,0.2,0.0003,0.0108833695,-0.017596141318790615,-0.14629292488098145,0.6752424240112305
4096,68,-9.655632264705883,60.0,8,60,70,0.4014316523447633,-2.3751893132925033,0.155859375,0.2,0.0003,0.012097989,-0.023132834222633392,-0.1822269856929779,0.5254054367542267
4608,68,-9.350427539473685,60.0,9,67,80,0.08889788901433349,-2.3631371676921846,0.0458984375,0.2,0.0003,0.009497378,-0.01122939939959906,-0.23075759410858154,0.767408087849617
5120,68,-9.079328857142858,60.0,10,74,90,0.13918908680789172,-2.3588290482759477,0.1041015625,0.2,0.0003,0.0124211805,-0.01711315385182388,-0.18274912238121033,0.5155190527439117
5632,68,-8.876500902173913,60.0,11,82,100,0.10249558202922344,-2.3592556565999985,0.1908203125,0.2,0.0003,0.015974551,-0.021142850106116384,-0.19019940495491028,0.7122540473937988
6144,68,-8.70790629,60.0,12,89,110,0.20049741482362152,-2.3399558812379837,0.144140625,0.2,0.0003,0.014032688,-0.024140975356567652,-0.16524170339107513,0.5078065991401672
6656,68,-7.9476720200000015,60.0,13,97,120,0.24533530557528138,-2.335103544592857,0.130859375,0.2,0.0003,0.012684165,-0.020777913130586967,-0.16781845688819885,0.3229144811630249
7168,68,-7.485784490000001,60.0,14,104,130,0.11796579011715949,-2.335367974638939,0.0859375,0.2,0.0003,0.013361913,-0.016781063756207006,-0.21432387828826904,0.5695887506008148
7680,68,-7.1254219,60.0,15,112,140,0.048447770305210726,-2.3329094111919404,0.1361328125,0.2,0.0003,0.012595682,-0.015484735122299753,-0.2473706305027008,0.7557299584150314
8192,68,-6.865425709999999,60.0,16,120,150,0.17363427663221956,-2.3191843390464784,0.035546875,0.2,0.0003,0.010634447,-0.011706825665896758,-0.21215416491031647,0.4784851670265198
8704,68,-6.64503502,60.0,17,127,160,0.05382823931286111,-2.3218267500400542,0.10078125,0.2,0.0003,0.0110671865,-0.01487252019578591,-0.2234593778848648,0.6187022626399994
9216,68,-6.485338790000001,60.0,18,135,170,0.004396179571631365,-2.339179715514183,0.070703125,0.2,0.0003,0.011164456,-0.01066700101364404,-0.27141842246055603,0.9573633968830109
9728,68,-6.424571179999999,60.0,19,142,180,0.004464821769215632,-2.338248664140701,0.1189453125,0.2,0.0003,0.013293553,-0.011122671148041264,-0.252290278673172,0.9312442541122437
10240,68,-6.424577490000001,60.0,20,149,190,0.07222646021982655,-2.3484905898571014,0.1740234375,0.2,0.0003,0.011927018,-0.020982997870305553,-0.24032771587371826,0.5545532405376434
10752,68,-6.384511120000001,60.0,21,157,200,0.004050973381527001,-2.358366909623146,0.21875,0.2,0.0003,0.013460483,-0.021956812543794512,-0.2423180490732193,0.9023626372218132
11264,68,-6.34371901,60.0,22,164,210,0.05114671840710798,-2.3653405606746674,0.07890625,0.2,0.0003,0.010337168,-0.009378441484295763,-0.21467578411102295,0.5165693163871765
11776,68,-6.286310839999999,60.0,23,173,220,0.022027162482845596,-2.3626785427331924,0.1294921875,0.2,0.0003,0.0115354415,-0.01955258862581104,-0.23692286014556885,0.7725730389356613
12288,68,-6.20615556,60.0,24,180,230,0.0018067090561089572,-2.354701206088066,0.087109375,0.2,0.0003,0.01413871,-0.01384259905316867,-0.26491498947143555,0.9751985091716051
12800,68,-6.16651606,60.0,25,187,240,0.000930092359703849,-2.3608018189668654,0.1048828125,0.2,0.0003,0.012986559,-0.0162615499983076,-0.2847591042518616,0.9849244588986039
13312,68,-6.167074060000001,60.0,26,195,250,0.0009602229882148094,-2.3623755395412447,0.073828125,0.2,0.0003,0.008809658,-0.011109662073431536,-0.2599010765552521,0.9845247138291597
13824,68,-6.147414839999999,60.0,27,202,260,0.10078223859891296,-2.345678541064262,0.1630859375,0.2,0.0003,0.014400067,-0.023505694535560905,-0.22340327501296997,0.402072548866272
